Case Description,Category,label
The grandfather filed a case seeking custodianship of his orphaned grandchild.,Personal Status,0
Claim for child support against the father.,Personal Status,0
The father filed a case for custody withdrawal from the mother.,Personal Status,0
A report highlighted major gaps in data protection affecting ordinary users.,General,2
I need legal help to register my business correctly with the authorities.,Commercial,1
"Wrong item received from online purchase, need help getting refund.",Commercial,1
The court approved the business dissolution due to ongoing disputes.,Commercial,1
The wife sought an official certificate to prove the divorce status.,Personal Status,0
"I filed a warranty request, but the company refused to repair or replace the item.",Commercial,1
The buyer reported an e-commerce dispute over a canceled transaction.,Commercial,1
"My husband still refuses to give me a divorce, even with all these problems",Personal Status,0
I want to know how to resolve a car accident dispute through insurance.,General,2
The family sought permission to handle financial matters for the incapacitated person.,Personal Status,0
I’m seeking legal advice about a wrongful eviction threat.,General,2
The investigation focused on identifying the person behind the anonymous threat.,General,2
An audit revealed misuse of funds within the financial department.,Commercial,1
My tenant uses the utilities but refuses to pay for them.,Commercial,1
"I want to adopt a child, what is the legal procedure?",Personal Status,0
The landlord warned me to move out without any court order.,General,2
"The customer ignored the invoice for months, so I need legal action.",Commercial,1
The family is involved in a legal will dispute after the father’s death.,Personal Status,0
The co-founders are in conflict over company ownership and decisions.,Commercial,1
The investigation revealed multiple incidents of malpractice in the facility.,General,2
A dispute arose due to late delivery of the ordered products.,Commercial,1
"Falsely accused of shoplifting, need help to prove my innocence.",General,2
